service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
4_1017_601,1,1,1,1,0,0,0,20260603,20260903
4_1017_562,0,0,0,0,1,0,0,20260603,20260903
4_1017_603,0,0,0,0,0,1,0,20260603,20260903
4_1017_609,0,0,0,0,0,0,1,20260603,20260903
5_1018_601,1,1,1,1,1,0,0,20260603,20260903
5_1018_603,0,0,0,0,0,1,1,20260603,20260903
6_1057_601,1,1,1,1,1,0,0,20260603,20260903
6_1057_603,0,0,0,0,0,1,0,20260603,20260903
6_1057_604,0,0,0,0,0,0,1,20260603,20260903
7_1061_601,1,1,1,1,0,0,0,20260603,20260903
7_1061_602,0,0,0,0,1,0,0,20260603,20260903
7_1061_603,0,0,0,0,0,1,0,20260603,20260903
7_1061_604,0,0,0,0,0,0,1,20260603,20260903
8_1066_611,1,1,1,1,0,0,0,20260603,20260903
8_1066_612,0,0,0,0,1,0,0,20260603,20260903
8_1066_613,0,0,0,0,0,1,0,20260603,20260903
8_1066_614,0,0,0,0,0,0,1,20260603,20260903
9_922_606,1,1,1,1,0,0,0,20260603,20260903
9_922_607,0,0,0,0,1,0,0,20260603,20260903
9_922_603,0,0,0,0,0,1,0,20260603,20260903
9_922_604,0,0,0,0,0,0,1,20260603,20260903
10_923_561,1,1,1,1,0,0,0,20260603,20260903
10_923_562,0,0,0,0,1,0,0,20260603,20260903
10_923_603,0,0,0,0,0,1,0,20260603,20260903
10_923_609,0,0,0,0,0,0,1,20260603,20260903
11_1056_606,0,0,1,1,1,0,0,20260603,20260903
11_1056_608,0,0,0,0,0,1,0,20260603,20260903
11_1056_610,0,0,0,0,0,0,1,20260603,20260903
11_1056_561,1,1,0,0,0,0,0,20260603,20260903
12_827_601,1,1,1,0,1,0,0,20260603,20260903
12_827_602,0,0,0,1,0,0,0,20260603,20260903
12_827_603,0,0,0,0,0,1,0,20260603,20260903
12_827_604,0,0,0,0,0,0,1,20260603,20260903
13_1021_561,1,1,1,1,1,0,0,20260603,20260903
13_1021_603,0,0,0,0,0,1,0,20260603,20260903
13_1021_604,0,0,0,0,0,0,1,20260603,20260903
14_983_601,1,1,1,1,0,0,0,20260603,20260903
14_983_602,0,0,0,0,1,0,0,20260603,20260903
